"ProvinceStateID","ProvinceStateCode","DescriptionE","DescriptionF","CountryID","LastUpdate"
92,KOWL,"Kowloon, Hong Kong","Kowloon, Hong Kong",12,"2009-05-22 09:30:45"
93,SHANG,Shanghai,Shanghai,12,"2009-07-03 09:24:49"
94,Raunh,Raunheim,Raunheim,10,"2009-08-07 14:41:25"
95,Santi,Santiago,Santiago,41,"2009-09-24 12:53:35"
96,South,South Australia,South Australia,42,"2009-10-09 13:52:30"
97,Puert,Puerto Montt,Puerto Montt,41,"2009-11-09 13:39:52"
98,NUEVO,Nuevo Léon,Nuevo Léon,22,"2009-11-18 08:52:18"
99,TELFO,Telford,Telford,5,"2009-12-01 10:13:28"
100,Hidal,Hidalgo,Hidalgo,22,"2010-03-08 10:31:27"
101,"001",Principauté de Monaco,Principauté de Monaco,44,"2010-03-08 10:59:26"
102,Mumba,Mumbai,Mumbai,45,"2010-03-09 10:05:46"
103,Chaz,dAzergues,dAzergues,11,"2010-03-18 09:21:29"
104,KOLDI,Kolding,Kolding,15,"2010-03-26 10:33:23"
105,DENHA,"1786 PR Den Helder","1786 PR Den Helder",18,"2010-05-18 10:20:52"
106,Gujar,Gujarat,Gujarat,45,"2010-05-20 14:33:11"
107,Palaf,Palafrugell,Palafrugell,20,"2010-05-27 15:15:00"
108,Ijmui,Ijmuiden,Ijmuiden,18,"2010-06-07 12:54:04"
109,Ballò,Ballò di Mirano (VE),Ballò di Mirano (VE),23,"2010-08-13 13:02:45"
110,Songk,Songkhla,Songkhla,40,"2010-11-05 11:16:40"
111,SHAND,Shandong,Shandong,12,"2010-12-13 12:09:26"
112,Pesca,Pescara,Pescara,23,"2011-01-04 10:12:59"
113,Swale,South Wales,South Wales,48,"2011-01-13 13:07:58"
114,Odens,Odense S,Odense S,15,"2011-02-16 12:27:52"
115,Perch,Perchtoldsdorf,Perchtoldsdorf,27,"2011-02-18 11:14:18"
116,North,Northfolk,Northfolk,48,"2011-05-12 12:58:05"
117,Gerig,Gerigne,Gerigne,11,"2011-06-09 13:05:20"
118,Mirab,Mirable,Mirable,11,"2011-06-10 13:15:42"
119,Velse,Velsen-Noord,Velsen-Noord,18,"2011-06-15 10:57:16"
120,Norta,Northants,Northant,5,"2011-07-25 14:14:27"
121,Selan,Selanger Darul Ehsan,Selanger Darul Ehsan,7,"2011-07-28 08:20:49"
122,Penan,Penang,Penang,7,"2011-08-09 10:33:20"
123,Tippe,Tipperary,Tipperary,49,"2011-09-09 14:00:11"
124,Diete,Dietenheim,Dietenheim,10,"2011-10-14 11:59:40"
125,Hstn,Hstn Chu,Hstn Chu,51,"2011-10-21 14:01:42"
126,Taina,Tainan,Tainan,51,"2011-12-08 15:11:50"
127,VAASS,Vaassen,Vaassen,18,"2012-01-11 13:36:58"
128,Lodi,Lodi,Lodi,23,"2012-01-11 14:24:12"
129,Tósha,Tóshavn,Tóshavn,52,"2012-03-07 08:43:43"
130,Moult,Moulton Park,Moulton Park,48,"2012-03-12 13:43:11"
131,Uden,Uden,Uden,18,"2012-03-16 12:53:45"
132,Tilbu,Tilburg,Tilburg,18,"2012-04-12 11:18:05"
133,Sant,Sant Joan de les Abadesses,Sant Joan de les Abadesses,20,"2012-04-16 11:15:40"
134,Sarre,Sarrebourg Cedex,Sarrebourg Cedex,11,"2012-04-19 10:13:47"
135,Mahar,Maharashtra,Maharashtra,45,"2012-04-20 14:08:28"
136,Chodz,Chodzie&#380;,Chodzie&#380;,38,"2012-05-02 13:47:11"
137,Tlax,Tlaxcala,Tlaxcala,22,"2012-05-10 13:35:02"
138,Gries,Gries,Gries,11,"2012-06-28 10:53:36"
139,Alsac,Alsace,Alsace,11,"2012-06-28 10:57:57"
140,Shant,Shantou,Shantou,12,"2012-07-03 11:55:42"
141,Lecco,Lecco (LC),Lecco (LC),23,"2012-07-06 12:21:59"
142,Surre,Surrey,Surrey,48,"2012-07-18 12:18:46"
143,Donzy,Donzy,Donzy,11,"2012-07-26 12:01:03"
144,Shrop,Shropshire,Shropshire,48,"2012-07-27 11:22:03"
145,Ras A,Ras Khaimah,Ras Khaimah,50,"2012-07-27 13:58:52"
146,Bad G,Bad Gröenbach,Bad Gröenbach,10,"2012-08-21 10:55:08"
147,Lanca,Lancashire,Lancashire,5,"2012-08-22 13:25:39"
148,Zheji,Zhejiang,Zhejiang,12,"2012-08-31 14:28:30"
149,Rome,Rome,Rome,23,"2012-09-20 12:32:25"
150,Ceske,Ceske Budejovice,Ceske Budejovice,53,"2012-11-26 14:16:49"
151,Bardb,Bardbezieux,Bardbezieux,11,"2012-11-27 11:34:27"
152,Valke,Valkeakiski,Valkeakiski,21,"2013-02-04 15:04:26"
153,Horse,Horsens,Horsens,15,"2013-02-05 14:31:40"
154,Lima,Lima,Lima,54,"2013-03-20 11:16:59"
155,Dietm,Dietmannsried,Dietmannsried,10,"2013-04-02 12:49:07"
156,Wrzes,Wrzesnia,Wrzesnia,38,"2013-04-10 10:45:47"
157,Weinb,Weinburg,Weinburg,27,"2013-07-24 09:48:19"
158,Guand,Guangdong,Guangdong,12,"2013-09-06 18:09:58"
159,PR,PR,PR,24,"2013-09-13 09:47:33"
160,Harte,Hartenstein,Hartenstein,15,"2013-09-18 12:40:13"
161,Shiga,Shiga,Shiga,19,"2013-09-18 14:06:43"
162,Loker,Lokeren,Lokeren,9,"2013-09-20 13:37:40"
163,Jiang,Jiangsu,Jiangsu,12,"2013-09-26 15:25:03"
164,Wycom,Wycombe,Wycombe,48,"2013-09-26 15:35:12"
