"CompanyID","NameE","NameF","LanguageID","CityID","PostalCode","LastUpdate"
a587,Allied Industries,Allied Industries,E,161,L9T 4W8,"2010-06-03 11:47:19"
A588,Action Plastiques Inc.,Action Plastiques Incorporé,E,382,H1P 1Y4,"2011-04-19 13:41:23"
A589,AkzoNobel Canada,AkzoNobel Canada,E,110,L4K 2A5,"2013-07-25 13:00:47"
A599,Actium Marketing,Actium Marketing,E,1300,J7K 0B8,"2010-11-10 15:12:35"
A600,Atlantic Packaging Products Ltd.,Atlantic Packaging Products Ltd.,E,208,M1P 2Y9,"2011-01-04 10:05:46"
A602,"Plastic Age Products, Inc.","Les Produits de Plastique Age, Inc.",E,60,H1N 3S9,"2011-02-04 15:33:20"
A603,ArcelorMittal Dofasco Inc.,ArcelorMittal Dofasco Inc.,E,137,L8N 3J5,"2010-09-23 12:15:54"
A606,Amcor Flexibles Sarrebourg S.A.S.,Amcor Flexibles Sarrebourg S.A.S.,E,1396,"57402","2012-04-19 10:15:19"
A610,Acégriculture des bois-francs Inc.,Acégriculture des bois-francs Inc.,E,191,G6L 3W6,"2011-06-10 13:29:20"
A615,"AquaBond, Inc.","AquaBond, Inc.",E,8,M1V 5J8,"2012-09-20 12:49:37"
A617,Amiplus Inc.,Amiplus Inc.,E,1327,J0E 1E0,"2011-03-18 13:26:27"
A618,"Ablesun Plastics, Ltd.","Ablesun Plastics, Ltd.",E,27,V4G 1G7,"2011-08-24 10:00:56"
A619,"Accurate Screen, Ltd.","Accurate Screen, Ltd.",E,32,T2C 1G8,"2012-02-03 12:19:57"
A621,"ALPINE Specialty Chemicals, Ltd.","ALPINE Specialty Chemicals, Ltd.",E,125,M9W 1B4,"2011-12-21 09:01:58"
A622,"Accredo Packaging, Inc.","Accredo Packaging, Inc.",E,1453,"77479","2013-02-11 13:34:20"
A624,"AGC Chemicals Americas, Inc.","AGC Chemicals Americas, Inc.",E,1444,"19341","2012-12-28 09:23:28"
A625,ANELLI srl ,ANELLI srl ,E,1377,"26836","2012-01-11 14:25:38"
A629,The Anchor Hocking Company,The Anchor Hocking Company,E,1387,"15601","2012-03-07 08:42:04"
A63,Ayerst Laboratories,Ayerst Laboratories,E,416,,"2006-01-11 09:31:21"
A631,ARC Industrial Maintenance Products,ARC Industrial Maintenance Products,E,1355,,"2011-09-12 15:19:47"
A632,Agri-Plastics Mfg,Agri-Plastics Mfg,E,1404,L0R 1M0,"2012-05-10 13:53:10"
A634,"ACC Coatings, LLC","ACC Coatings, LLC",E,1454,"08846","2013-02-15 10:13:12"
A636,Argus Industries,Argus Industries,E,33,R3J 3T9,"2012-01-11 15:10:01"
A637,"Argelith® Ceramic Tiles, Inc.","Argelith® Ceramic Tiles, Inc.",E,295,"60174","2012-01-11 15:55:54"
A638,Atex Impression Creative Printing,Atex Impression Creative Printing,E,60,H4T 2A7,"2013-08-01 09:51:07"
A643,Acklands Grainger®,Acklands Grainger®,E,31,T5M 3Z2,"2012-02-24 15:04:46"
A643a,"Acklands-Grainger, Inc.","Acklands-Grainger, Inc.",E,197,L4B 1E7,"2013-09-30 09:00:17"
A644,All American Poly Corp.,All American Poly Corp.,E,720,"08854","2012-04-30 13:16:55"
A646,AMD Ritmed,AMD Ritmed,E,148,H8T 3J8,"2012-03-14 12:21:01"
A647,Adhesives Technology Corporation,Adhesives Technology Corporation,E,1400,"33064","2012-04-24 15:46:00"
A649,"ACCESS Manufacturing Technologies, LLC","ACCESS Manufacturing Technologies, LLC",E,1473,"49120","2013-05-16 11:53:17"
A651,Arctica Industries Corporation,Arctica Industries Corporation,E,111,V3K 6X9,"2013-08-01 11:27:51"
A652,Afrasia Machinery Canada Co.,Afrasia Machinery Canada Co.,E,3,L6T 5B1,"2012-07-27 14:51:52"
A657,"Amcor Rigid Plastics USA, Inc.","Amcor Rigid Plastics USA, Inc.",E,1430,"48108","2012-10-22 14:28:46"
A661,AGL,AGL,E,197,L4B 3Z3,"2013-02-11 09:13:51"
A671,"A.T.J., Inc.","A.T.J., Inc.",E,1449,J6S 0B9,"2013-02-04 13:05:02"
A673,"Advanced Coatings Systems, Inc.","Advanced Coatings Systems, Inc.",E,1446,"30189","2013-01-07 14:22:46"
A675,Ardagh Group,Ardagh Group,E,1032,"33602","2013-08-01 16:42:27"
A685,"Alberta Broom & Cleaning Supplies, Inc.","Alberta Broom & Cleaning Supplies, Inc.",E,153,T1J 3Y3,"2013-09-30 09:05:42"
A689,"Autovision Lussier, AVL Recherches, Inc.","Autovision Lussier, AVL Recherches, Inc.",E,1497,J0L 1N0,"2013-11-08 14:05:40"
AB237,Biosav Inc.,Biosav Inc.,E,78,,"2005-12-06 09:08:27"
B003,BASF Canada Incorporated,BASF Canada Incorporated,E,8,M9W 6N9,"2005-09-30 06:45:01"
B003a,BASF Construction Chemicals,BASF Construction Chemicals,E,367,"55379","2007-03-26 14:44:09"
B003b,BASF Corporation,BASF Corporation,E,1189,"07932","2009-02-17 12:11:07"
B009,Bestline Products of Canada,Bestline Products of Canada,E,4,,"2007-05-29 14:56:11"
B014,Bétonel Ltée,Bétonel Ltée,F,60,H3N 2G6,"2005-09-30 07:30:02"
B018,Bow Plastics Limited,Les Plastiques Bow Ltée,E,913,H4T 1B1,"2006-03-28 11:40:10"
B019,Borden Chemical Company Canada Ltd.,Borden Chemical Company Canada Ltd.,E,638,,"2006-02-13 08:26:05"
B021,Brisk Corporation,Brisk Corporation,E,416,H4N 2G7,"2005-10-23 01:40:55"
B034,HL Blachford Ltée.,HL Blachford Ltée.,E,60,H3G 2C3,"2006-04-05 11:29:13"
B037,BIRKO® Corporation,BIRKO® Corporation,E,68,"80640-8027","2005-09-26 11:53:07"
B042,Bettcher Industries Inc.,Bettcher Industries Inc.,E,440,"44089","2005-11-02 15:56:54"
B056,Buckman Laboratories of Canada Ltd.,Laboratoires Buckman du Canada Ltée,E,421,J7V 5V5,"2005-10-20 09:31:24"
B062,B & C Packagings Limited,B & C Packagings Limited,E,60,,"2006-02-02 13:08:21"
B070,Brodi Specialty Products Ltd.,Brodi Specialty Products Ltd.,E,6,L3R 0H1,"2005-10-23 01:59:28"
B072,Bray-Dor Inc.,Bray-Dor Inc.,F,148,H8T 3K3,"2006-03-17 08:22:27"
B078,Balcan Plastics Ltd.,Balcan Plastics Ltd.,E,382,,"2006-02-02 13:27:25"
B091,Bob Chambers Ltd.,Bob Chambers Ltd.,E,4,L4W 1A4,"2005-12-06 10:42:53"
B095,Bio-Cide International,Bio-Cide International,E,1086,"73072","2007-06-28 15:20:07"
B100,BP Canada Limited,BP Canada Limited,E,860,,"2006-03-17 15:02:46"
B112,"Bonar Plastics, Inc.","Bonar Plastics, Inc.",E,801,"60185","2012-01-24 12:15:20"
B116,R. Beckman Cellulose Inc.,R. Beckman Cellulose Inc.,E,104,,"2006-02-02 14:15:05"
B121,Basic Chemicals Ltd.,Basic Chemicals Ltd.,E,4,,"2005-10-23 01:30:19"
B122,"Buckhorn Canada Incorporated, A Myers Industries Company","Buckhorn Canada Incorporated, A Myers Industries Company",E,32,T2J 3Z3,"2005-10-21 15:17:46"
B123,Big M Plastics Limited,Big M Plastics Limited,E,153,,"2006-02-13 07:57:04"
B124,Britt Food Equipment Incorporated - Division of RL Britton Enterprises,Britt Food Equipment Incorporated - Division of RL Britton Enterprises,E,104,,"2006-03-08 08:58:50"
B125,Bell-Mark Corporation,Bell-Mark Corporation,E,75,,"2005-09-27 18:35:25"
B127,Best Glove Manufacturing Limited,Best Glove Manufacturing Limited,E,401,,"2005-10-04 14:32:18"
B127a,Showa®-Best® Glove Manufacturing Ltd.,Showa®-Best® Glove Manufacturing Ltd.,E,402,"30731-0008","2005-10-04 14:35:37"
B132a,Belzona Inc.,Belzona Inc.,E,463,"33172","2005-11-10 15:59:34"
B135,BioLab Water Additives Inc.,BioLab Water Additives Inc.,E,471,"30049-1002","2005-11-14 19:26:08"
B135a,BWA Water Additives US LLC,BWA Water Additives US LLC,E,471,"30049","2006-10-03 14:52:47"
B138,Bizerba Canada Inc.,Bizerba Canada Inc.,E,4,,"2005-11-10 16:11:21"
B145,Bakor Incorporated,Bakor Incorporated,E,148,H8R 1N7,"2005-09-30 06:41:58"
B150,Burke Industrial Coatings,Burke Industrial Coatings,E,853,,"2007-05-23 10:36:06"
B159,Brecon Knitting Mill Inc.,Brecon Knitting Mill Inc.,E,641,,"2006-02-13 09:11:55"
B163,Benjamin Moore & Company Limited,Benjamin Moore & Company Limited,E,8,M6N 1G9,"2005-09-30 07:12:03"
B163a,PS Atlantic Limited,PS Atlantic Limited,E,580,,"2006-01-19 11:51:23"
B163b,Benjamin Moore® & Co.,Benjamin Moore® & Co.,E,980,"07645","2013-10-02 10:50:49"
B178,BTU Panels Ltd.,BTU Panels Ltd.,E,510,,"2005-11-29 13:02:46"
B186,Bolidt Synthetic Products & Systems,Bolidt Synthetic Products & Systems,E,928,NL-3340,"2006-04-05 11:38:36"
B190,Canessco Inc.,Canessco Inc.,E,31,,"2006-01-24 14:51:37"
B190a,"BioSafe Systems, LLC","BioSafe Systems, LLC",E,946,"06108","2013-05-02 11:51:12"
B195,Bowman Distribution,Bowman Distribution,E,110,L4K 3N7,"2005-12-06 10:46:34"
B196,"Buckeye International, Inc.","Buckeye International, Inc.",E,424,"063043-3471","2005-10-23 02:20:49"
B198,Burke Company,Burke Company,E,362,"80216","2005-09-30 09:42:08"
B202,Burtin Corporation,Burtin Corporation,E,363,"92707","2005-09-30 09:45:34"
B204,Bel-Ray Company Incorporated,Bel-Ray Company Incorporated,E,934,"07727","2006-04-19 10:45:36"
B205,Bebbington Industries,Bebbington Industries,E,114,B3B 1G6,"2005-10-23 01:32:02"
B208,Binol Filium AB,Binol Filium AB,E,1008,,"2007-02-06 16:13:22"
B210,BETCO® Corporation,BETCO® Corporation,E,512,"43607-0127","2005-12-06 08:22:01"
B210a,"Masters Sanitation Ltd.,","Masters Sanitation Ltd.,",E,71,,"2006-01-10 08:42:15"
B214,Bio Nuclear Diagnostic Inc.,Bio Nuclear Diagnostic Inc.,E,249,,"2005-10-04 14:53:45"
B216,Ball Packaging Products Canada Incorporated,Ball Packaging Products Canada Incorporated,E,137,L8L 5G7,"2006-03-10 10:34:39"
B219,The Butcher Company,The Butcher Company,E,418,"01752-3012","2005-10-18 00:44:31"
B221,Bolloré Incorporated,Bolloré Incorporated,E,637,"06241-0530","2006-02-13 08:20:15"
B224,Bericap Canada Inc.,Bericap Canada Inc.,E,20,,"2006-02-02 15:49:35"
B227,Biotech-Transfer Consulting Incorporated,Biotech-Transfer Consulting Incorporated,E,2,N2L 5N6,"2004-09-15 13:17:28"
B229,Bulldog Bag Ltd.,Bulldog Bag Ltd.,E,196,,"2006-02-13 09:40:45"
B230,Business Opportunity Canada,Business Opportunity Canada,E,8,M5C 4Y2,"2005-10-22 23:47:32"
B231,BJK Flexible Packaging,BJK Flexible Packaging,E,430,"40210","2006-02-02 13:19:17"
B233,BERRY™ Plastics Corporation,BERRY™ Plastics Corporation,E,633,"47706-0959","2006-02-02 15:38:30"
B233a,Berry™ Plastics Corporation,Berry™ Plastics Corporation,E,1281,"17604-8527","2010-07-21 13:08:49"
B233b,Berry™ Plastics Corporation,Berry™ Plastics Corporation,E,1366,"47374","2011-10-25 10:20:31"
B233c,BERRY™ Plastics Corporation,BERRY™ Plastics Corporation,E,8,M8V 2C7,"2013-12-05 12:44:23"
B234,Les Produits Nettoyants FML Incorporated,Les Produits Nettoyants FML Incorporated,E,1089,,"2007-06-28 15:29:05"
B235,Busch Vacuum Technics Inc.,Busch Vacuum Technics Inc.,E,375,J7H 1N7,"2006-09-27 08:07:25"
B236,"BetzDearborn, div. of Hercules Canada","BetzDearborn, div. de Hercules Canada",E,4,L5C 2S9,"2005-11-18 04:26:32"
B240,Bio-XL Environmental Canada,Bio-XL Environmental Canada,E,230,,"2005-12-06 09:11:15"
B242,Benson Chemicals Limited,Benson Chemicals Limited,E,5,L0R 1K0,"2009-07-17 11:19:57"
B243,Belform Insulation Ltd.,Belform Insulation Ltd.,E,12,N6L 1B8,"2005-11-29 10:27:21"
B245,Boss Canada Inc.,Boss Canada Inc.,E,110,,"2005-10-04 14:59:02"
B247,Bee Maid Honey Limited,Bee Maid Honey Limited,E,33,,"2006-02-02 14:25:49"
B249,BG Gloves & Safety,BG Gloves & Safety,E,110,,"2005-10-04 14:52:58"
B250,Blackbrook Chemical Limited,Blackbrook Chemical Limited,E,98,L3Z 2B6,"2005-10-23 01:36:55"
B251,Bio-Tek Industries Inc.,Bio-Tek Industries Inc.,E,822,"30318","2007-05-29 14:56:48"
B253,Bio Agri Mix Ltd.,Bio Agri Mix Ltd.,E,415,N0K 1N0,"2005-10-14 10:43:20"
B254,Bender Engineering Inc.,Bender Engineering Inc.,E,359,N0B 2P0,"2005-09-30 07:06:06"
B258,Barinox Inc.,Barinox Inc.,E,211,,"2006-02-02 13:01:28"
B259,B & B Sales and Marketing Inc.,B & B Sales and Marketing Inc.,E,873,,"2006-03-17 14:58:07"
B261,Ben-Pack Inc./Copack,Ben-Pack Inc./Copack,E,632,G0R 2N0,"2006-02-02 15:32:48"
B263,Bel-Par Industries Ltd.,Bel-Par Industries Ltd.,E,234,,"2005-11-26 01:17:42"
B264,Jakarta,Jakarta,E,382,,"2005-12-13 13:53:33"
B264a,BSA Inc.,BSA Inc.,E,382,,"2006-02-13 09:38:59"
B265,Bemis Clysar Inc.,Bemis Clysar Inc.,E,630,"54903-2968","2006-02-02 14:34:44"
B265a,"Bemis Company, Inc.","Bemis Company, Inc.",E,630,"54903-2968","2009-10-07 13:22:08"
B265b,"Bemis Company, Inc.","Bemis Company, Inc.",E,393,"54957-0669","2011-08-25 13:40:21"
B266,Knock Out (A Division of 802980 Ontario Limited),Knock Out (A Division of 802980 Ontario Limited),E,4,,"2005-12-14 11:11:33"
B268,Blue Ridge Papers Products,Blue Ridge Papers Products,E,626,"28786","2006-02-13 08:13:05"
B270,Big Paper America,Big Paper America,E,352,,"2006-02-13 08:10:31"
B274,Bentfield Europe BV,Bentfield Europe BV,E,559,,"2006-01-11 09:59:02"
B276,Brenntag Canada Inc.,Brenntag Canada Inc.,E,8,M8Z 2G6,"2005-10-11 15:39:55"
B280,Boss Lubricants ( Arlyn Enterprises Incorporated ),Boss Lubricants ( Arlyn Enterprises Incorporated ),E,32,,"2006-05-04 12:15:33"
B282,Bio-Tox Medical Systems Inc.,Bio-Tox Medical Systems Inc.,E,111,,"2005-10-04 14:56:46"
B283,Bri-Jess Industries Inc.,Bri-Jess Industries Inc.,E,13,L1S 2G2,"2005-10-22 23:23:54"
B284,Les portes Baril Inc.,Les portes Baril Inc.,F,247,,"2006-03-17 08:29:39"
B286,Betflex Inc.,Betflex Inc.,E,211,,"2005-11-29 11:57:58"
B288,Bedford Industries Limited,Bedford Industries Limited,E,234,V4N 4N4,"2006-04-05 10:18:01"
B289,Brovi Investment Ltd.,Brovi Investment Ltd.,E,3,,"2005-11-26 01:18:27"
B291,Belpro Medical Inc.,Belpro Medical Inc.,E,400,,"2005-10-04 14:25:05"
B297,BARAD Protection Inc.,BARAD Protection Inc.,E,173,,"2005-10-04 14:22:06"
B299,B.C.L. Glove Ltd.,B.C.L. Glove Ltd.,E,442,G0L 3X0,"2005-11-02 16:34:39"
B301,Beaver Chemicals Ltd.,Beaver Chemicals Ltd.,E,7,L7T 3H7,"2007-02-28 12:55:34"
B302,Biaxis Oy Ltd.,Biaxis Oy Ltd.,E,635,,"2006-02-13 07:49:24"
B303,"B.C. Plus, Inc.","B.C. Plus, Inc.",E,1434,J6N 1C2,"2005-11-14 19:20:14"
B304,Barclay Water Management Inc.,Barclay Water Management Inc.,E,470,"02472","2005-11-14 19:23:28"
B308,Bi-Ax International Inc.,Bi-Ax International Inc.,E,634,N0G 2W0,"2006-02-02 15:54:36"
B309,Bagwell Plastics,Bagwell Plastics,E,196,V6V 1J4,"2006-02-02 12:58:30"
B315,"Bowater, div. Bowater Incorporated","Bowater, div. Bowater Incorporated",E,639,"35044-0555","2006-02-13 08:37:55"
B317,Bio-Systems International,Bio-Systems International,E,603,"61073-0330","2006-01-24 14:10:44"
B320,BPB Canada Inc.,BPB Canada Inc.,E,4,L5J 1K4,"2006-03-20 15:53:31"
B321,Brencar Inc.,Brencar Inc.,E,631,V4P 1B7,"2006-02-02 15:24:05"
B325,Bond Tech Industries Incorporated,Bond Tech Industries Incorporated,E,3,L7A 1G2,"2006-03-13 11:28:40"
B326,B.A.G.® Corp.,B.A.G.® Corp.,E,918,"75479","2006-02-02 12:54:08"
B327,BSI Inc.,BSI Inc.,E,15,J7R 5C2,"2005-10-23 02:18:01"
B331,Bruno & Nick Inc.,Bruno & Nick Inc.,E,60,H2S 3J7,"2009-06-26 11:07:04"
B332,Brandon Restaurant Supply,Brandon Restaurant Supply,E,82,R7A 4L8,"2009-08-10 13:44:09"
B333,Bonté Foods Limited,Bonté Foods Limited,E,967,E1A 7Z7,"2006-09-27 10:33:56"
B334,"Belvedere International, Inc.","Belvedere International, Inc.",E,4,L5M 7G5,"2011-04-29 12:24:00"
B335,Bagcraft Papercon,Bagcraft Papercon,E,308,"60632-3491","2010-02-26 13:56:20"
B337,Bunzl Koch Supplies,Bunzl Koch Supplies,E,437,"64116","2007-12-10 12:31:58"
B338,Bio-Organic Catalyst of Canada,Bio-Organic Catalyst of Canada,E,8,M4P 3E3,"2006-10-24 11:59:56"
B340,Best Sanitizers Inc.,Best Sanitizers Inc.,E,261,"95946","2006-01-17 13:44:15"
B341,"Bruni Glass Packaging, Inc.","Bruni Glass Packaging, Inc.",E,148,H8T 1B8,"2007-02-06 11:46:05"
B343,"Becker Industrial Coatings, Inc.","Becker Industrial Coatings, Inc.",E,8,M9W 1N2,"2007-02-06 11:16:38"
B343a,"Becker Industrial Coatings, Inc.","Becker Industrial Coatings, Inc.",E,293,"60007","2013-09-24 11:51:13"
B347,BBH Group Inc.,Groupe BBH Inc.,E,63,H9P 2R2,"2007-07-10 07:38:43"
B350,"Basic Chemical Solutions, LLC","Basic Chemical Solutions, LLC",E,1098,"94063","2007-09-04 15:12:17"
B351,Bercon Atlantic Ltd.,Bercon Atlantic Ltd.,E,201,E2R 1A3,"2009-01-28 12:41:52"
B353,"Bemis PPD (Polyethylene Packaging Division), div. Bemis Inc.","Bemis PPD (Polyethylene Packaging Division), div. Bemis Inc.",E,630,"54903-2968","2008-10-08 16:43:36"
B354,Belley concept d'emballage intégré,Belley concept d'emballage intégré,F,211,J1K 2B3,"2007-10-02 13:08:02"
B356,Bemis Clysar,Bemis Clysar,E,630,"54903-2968","2008-10-21 14:42:35"
B360,Biofilm S.A.,Biofilm S.A.,E,1290,,"2010-09-24 10:00:25"
B361,Belcorr Packaging (2005) Inc.,Belcorr Packaging (2005) Inc.,E,104,N1T 1A8,"2008-01-04 08:33:56"
B363,Brodart S.A.S.,Brodart S.A.S.,E,1260,"10700","2010-02-19 16:17:52"
B364,"Biogivre, Inc.","Biogivre, Inc.",E,1104,J1Z 1B8,"2007-11-09 14:39:58"
B366,BioCanadian Inc.,BioCanadian Inc.,E,60,H4B 2V3,"2008-05-18 11:35:14"
B367,Bionetix International,Bionetix International,E,961,H9X 4C7,"2012-08-01 10:05:19"
B368,Bericap North America,Bericap North America,E,7,L7L 6C5,"2011-12-19 10:52:22"
B369,Bio Green Technology Corporation,Bio Green Technology Corporation,E,196,V6X 3J4,"2009-03-06 14:04:49"
B373,Bulk Lift International Incorporated,Bulk Lift International Incorporated,E,1338,"60110","2011-06-15 11:16:58"
B377,Bob Dale Gloves & Imports Ltd.,Bob Dale Gloves & Imports Ltd.,E,31,T6B 2S4,"2008-09-24 14:11:20"
B378,BVA Inc.,BVA Inc.,E,1209,"48393-0301","2009-04-30 10:29:22"
B383,B&C Plastics Ltd.,B&C Plastics Ltd.,E,11,L1W 3A3,"2011-06-15 10:43:53"
B384,Bionature Laboratory,Laboratoire Bionature,E,97,J4B 8N4,"2009-02-26 14:49:51"
B387,BIO-LUB Canada Inc.,BIO-LUB Canada Inc.,E,1248,J0K 1V0,"2009-12-14 13:33:19"
B401,Barnett Dembek Architects Inc.,Barnett Dembek Architects Inc.,E,234,V3W 1H8,"2010-05-07 11:17:30"
B403,B & C Packaging Limited,Emballages B & C Limitée,E,416,H4T 1A9,"2010-06-10 15:56:52"
B407,Bylsma Imports,Bylsma Imports,E,1274,T0K 1X0,"2010-06-01 11:16:33"
B408,Body Life Health & Tanning Inc.,Body Life Health & Tanning Inc.,E,1283,N9J 1X7,"2010-07-26 09:46:12"
B411,Blackhawk Molding Co.,Blackhawk Molding Co.,E,1320,"60101","2011-01-25 15:38:52"
B417,Blixitt™ Inc.,Blixitt™ Inc.,E,3,L6W 1P5,"2011-03-11 14:51:21"
B418,"BHS Marketing, Specialty Chemical Products","BHS Marketing, Specialty Chemical Products",E,1341,"83687","2011-07-06 16:18:38"
B419,Bio Spectra,Bio Spectra,E,60,H2T 1R3,"2011-05-20 09:35:28"
B421,"BAG Supplies Canada, Ltd.","BAG Supplies Canada, Ltd.",E,231,N5A 8C3,"2012-02-10 12:53:49"
B430,"Blue Earth Labs, LLC","Blue Earth Labs, LLC",E,419,"89118","2011-05-09 11:19:45"
B431,Blome International,Blome International,E,1382,"63366","2012-02-01 15:02:36"
B434,"Besttel North America, Ltd.","Besttel North America, Ltd.",E,32,T3A 5K8,"2012-01-18 13:59:37"
B440,BSI Biodegradable Solutions,BSI Biodegradable Solutions,E,29,V6P 5C3,"2012-11-28 14:31:35"
B441,"The Bolt Supply House, Ltd.","The Bolt Supply House, Ltd.",E,32,T2R 0V4,"2012-03-28 10:44:22"
B447,"BioService Montréal, Inc.","BioService Montréal, Inc.",E,368,J4Y 2R2,"2013-07-16 11:00:21"
B459,"BAC Chemicals, Inc.","BAC Chemicals, Inc.",E,3,L6T 5C7,"2013-04-24 11:12:37"
B465,Burke Industrial Coatings™,Burke Industrial Coatings™,E,1499,"98642","2013-12-02 11:49:23"
B468,BLODGETT®,BLODGETT®,E,1500,"05401","2013-12-06 17:07:51"
BH62,Brdr-Schur International,Brdr-Schur International,E,640,,"2006-02-13 09:04:05"
C001,Capital Paper Products,Capital Paper Products,E,555,B0P 1R0,"2005-12-23 12:28:37"
C005,Canada Packers Inc.,Canada Packers Inc.,E,8,,"2006-02-13 11:28:40"
C011,CIL Incorporated,CIL Incorporated,E,60,,"2006-02-13 09:51:35"
C014,CKF Inc.,CKF Inc.,E,76,M9W 5E1,"2006-02-13 10:06:55"
C016,Canox,Canox,E,382,,"2005-10-01 13:49:20"
C027,Cantol Limited,Cantol Limited,E,6,L3R 2M4,"2005-09-30 09:59:57"
C027a,Cantol Specialty Chemicals,Cantol Specialty Chemicals,E,522,"19133","2007-08-30 11:52:01"
C031,Caristrap International Inc.,Caristrap International Inc.,E,21,,"2006-02-13 12:26:25"
C032,"CERTIFIED® Laboratories, div. of NCH Canada Inc.","CERTIFIED® Laboratories, div. of NCH Canada Inc.",E,3,L6T 1E6,"2005-11-10 17:20:24"
C033,"Chase Industries, Inc.","Chase Industries, Inc.",E,431,"42546","2006-03-16 13:38:11"
C033a,Chase Doors,Chase Doors,E,431,"45246","2007-05-09 13:36:25"
